title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
Agatha Christie: The ABC Murders,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Agatha_christie_abc_2016.jpg/220px-Agatha_christie_abc_2016.jpg,PS4\,XboxOne,na,na,na,na
Agents of Mayhem,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Agents_of_Mayhem_box_art.png/220px-Agents_of_Mayhem_box_art.png,PS4\,XboxOne,na,na,na,na
Agony,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Agony_2017_pre-release_Steam.jpg/220px-Agony_2017_pre-release_Steam.jpg,PS4,na,na,na,na,na
A Hat in Time,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/A_Hat_in_Time_logo.png/220px-A_Hat_in_Time_logo.png,PS4\,Switch\,XboxOne,na,na,na
A Healer Only Lives Twice,unreleased,PS4,na,na,na,na,na
AIPD,unreleased,PS4\,XboxOne,na,na,na,na
Air Conflicts: Pacific Carriers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflict_Pacific_Carrier_cover_artwork.png/220px-Air_Conflict_Pacific_Carrier_cover_artwork.png,PS4\,PS3\,Switch\,Xbox360,na,na
Air Conflicts: Vietnam,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflicts_Vietnam_box_art.jpg/220px-Air_Conflicts_Vietnam_box_art.jpg,PS4\,PS3\,Xbox360,na,na,na
Airship Q,unreleased,PS4,na,na,na,na,na
AI: The Somnium Files,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/AI_The_Somnium_Files.png/220px-AI_The_Somnium_Files.png,PS4\,Switch,na,na,na,na
Akiba's Beat,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/AkibasBeat.jpg/220px-AkibasBeat.jpg,PS4,na,na,na,na,na
Akiba's Trip: Undead & Undressed,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Akiba%27s_Trip_2_Cover.jpg/220px-Akiba%27s_Trip_2_Cover.jpg,PS4\,PS3,na,na,na,na
Alaloth: Champions of The Four Kingdoms,unreleased,PS4\,XboxOne,na,na,na,na
Alekhine's Gun,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Alekhines_gun_cover.jpg/220px-Alekhines_gun_cover.jpg,PS4\,XboxOne,na,na,na,na
Alienation,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Alienation_video_game_logo.png/220px-Alienation_video_game_logo.png,PS4,na,na,na,na,na
Alien: Isolation,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Alien_Isolation.jpg/220px-Alien_Isolation.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na
The Alliance Alive HD Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Alliance_Alive_cover_art.jpg/220px-Alliance_Alive_cover_art.jpg,PS4\,Switch,na,na,na,na
Alone with You,unreleased,PS4,na,na,na,na,na
Alwa's Awakening,unreleased,PS4,na,na,na,na,na
Always Sometimes Monsters,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Always_Sometimes_Monsters_logo.png/220px-Always_Sometimes_Monsters_logo.png,PS4,na,na,na,na,na
Amazing Discoveries in Outer Space,unreleased,PS4,na,na,na,na,na
The Amazing Spider-Man 2,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/The_Amazing_Spider-Man_2_cover.png/220px-The_Amazing_Spider-Man_2_cover.png,PS4\,PS3\,WiiU\,XboxOne,na,na
American Fugitive,unreleased,PS4,na,na,na,na,na
Amnesia: Collection,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Amnesia-The-Dark-Descent-Cover-Art.png/220px-Amnesia-The-Dark-Descent-Cover-Art.png,PS4,na,na,na,na,na
Among the Sleep,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Among_the_Sleep_cover_artwork.jpg/220px-Among_the_Sleep_cover_artwork.jpg,PS4\,XboxOne,na,na,na,na
Amplitude,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Amplitudebox.jpg/220px-Amplitudebox.jpg,PS4\,PS3,na,na,na,na
Anamorphine,unreleased,PS4\,XboxOne,na,na,na,na
Anarcute,unreleased,PS4\,XboxOne,na,na,na,na
Ancestors,unreleased,PS4\,XboxOne,na,na,na,na
Anew: The Distant Light,unreleased,PS4,na,na,na,na,na
AngerForce: Reloaded,unreleased,PS4,na,na,na,na,na
Angry Birds Star Wars,https://upload.wikimedia.org/wikipedia/en/8/8d/Angry_Birds_Star_Wars.png,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na
Anodyne,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Anodyne_logo.jpg/220px-Anodyne_logo.jpg,PS4\,XboxOne,na,na,na,na
Anoko wa Ore kara Hanarenai,unreleased,PS4,na,na,na,na,na
Anomaly 2,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/AnomalyWarzoneEarthTitleArt.jpg/220px-AnomalyWarzoneEarthTitleArt.jpg,PS4,na,na,na,na,na
Anonymous;Code,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Anonymous%3BCode.png/220px-Anonymous%3BCode.png,PS4\,Switch,na,na,na,na
Another World: 20th Anniversary Edition,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Another_World_Coverart.png/220px-Another_World_Coverart.png,PS4\,PS3\,WiiU\,XboxOne,na,na
Anthem,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Cover_Art_of_Anthem.jpg/220px-Cover_Art_of_Anthem.jpg,PS4\,XboxOne,na,na,na,na
Antiquia Lost,unreleased,PS4\,Switch,na,na,na,na
AO Tennis,https://upload.wikimedia.org/wikipedia/en/1/11/AO_Tennis_cover.jpg,PS4,na,na,na,na,na
A Pixel Story,unreleased,PS4\,XboxOne,na,na,na,na
A Plague Tale: Innocence,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/A_Plague_Tale_Innocence_artwork.jpg/220px-A_Plague_Tale_Innocence_artwork.jpg,PS4\,XboxOne,na,na,na,na
Apotheon,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Apotheon_logo.png/220px-Apotheon_logo.png,PS4,na,na,na,na,na
