game_title,score,ups,downs
Lost Sphear,701,701,0
Machinarium,1703,1703,0
Mad Max,8576,8576,0
Madden NFL 15,1732,1732,0
Madden NFL 16,663,663,0
Madden NFL 17,868,868,0
Madden NFL 18,478,478,0
Madden NFL 19,2087,2087,0
Madden NFL 25,757,757,0
Mafia III,141,141,0
Mages of Mystralia,26,26,0
Magicka 2,312,312,0
Mahjong,2125,2125,0
Maldita Castilla EX,107,107,0
Malicious Fallen,18477,18477,0
Manifold Garden,11,11,0
Mantis Burn Racing,0,0,0
Mark McMorris Infinite Air,269,269,0
Marooners,116,116,0
Marvel Puzzle Quest: Dark Reign,15,15,0
Marvel: Ultimate Alliance,359,359,0
Marvel: Ultimate Alliance 2,336,336,0
Marvel vs. Capcom: Infinite,1040,1040,0
Mary Skelter 2,345,345,0
Masquerada: Songs and Shadows,0,0,0
Mass Effect: Andromeda,4067,4067,0
Matterfall,0,0,0
Max: The Curse of Brotherhood,191,191,0
Mayan Death Robots,20,20,0
McDroid,291,291,0
MediEvil,961,961,0
Mega Coin Squad,20,20,0
Mega Man 11,850,850,0
Mega Man X Legacy Collection 1 & 2,250,250,0
Megadimension Neptunia VII,402,402,0
Mekazoo,0,0,0
Melbits World,0,0,0
Mercenary Kings,7764,7764,0
The Messenger,807,807,0
Metal Gear Solid V: Ground Zeroes,150,150,0
Metal Gear Solid V: The Phantom Pain,371,371,0
Metal Gear Survive,1569,1569,0
Metal Max Xeno,404,404,0
Metal Slug 3,1757,1757,0
Metro Exodus,996,996,0
Metro Redux,833,833,0
The Metronomicon: Slay the Dance Floor,8,8,0
Micro Machines World Series,919,919,0
Middle-earth: Shadow of Mordor,299,299,0
Middle-earth: Shadow of War,1250,1250,0
Mighty No. 9,3453,3453,0
Minecraft,609,609,0
Minecraft: Story Mode,685,685,0
Minecraft: Story Mode - Season 2,0,0,0
Minutes,132,132,0
Mirror's Edge Catalyst,1480,1480,0
MLB 14: The Show,2150,2150,0
MLB 15: The Show,2816,2816,0
MLB The Show 16,3285,3285,0
MLB The Show 17,2742,2742,0
MLB The Show 18,1726,1726,0
MLB The Show 19,2477,2477,0
Momodora: Reverie Under the Moonlight,110,110,0
Monopoly Plus,1372,1372,0
Monster Boy and the Cursed Kingdom,6790,6790,0
Monster Energy Supercross,303,303,0
Monster Energy Supercross 2,283,283,0
Monster Hunter: World,1565,1565,0
Moon Hunters,2031,2031,0
Moonlighter,1555,1555,0
Moons of Madness,1849,1849,0
Mordheim: City of the Damned,782,782,0
Mortal Kombat X,3323,3323,0
Mortal Kombat 11,10639,10639,0
Mother Russia Bleeds,468,468,0
Mothergunship,31,31,0
MotoGP 14,208,208,0
MotoGP 15,173,173,0
MotoGP 18,204,204,0
Moto Racer 4,208,208,0
Motor Strike: Immortal Legends,10,10,0
Mount & Blade: Warband,705,705,0
Mount & Blade II: Bannerlord,362,362,0
Mousecraft,0,0,0
Mr. Pumpkin's Adventure,15,15,0
Mugsters,360,360,0
Mulaka,1,1,0
The Mummy Demastered,1053,1053,0
Murder Detective: Jack the Ripper,69,69,0
Murdered: Soul Suspect,9469,9469,0
Mushroom Wars 2,738,738,0
Mutant Football League,158,158,0
Mutant Mudds Deluxe,4,4,0
Mutant Mudds Super Challenge,12,12,0
Mutant Year Zero: Road to Eden,154,154,0
Mutazione,68,68,0
MX vs. ATV Supercross Encore,0,0,0
MXGP The Official Motocross Videogame,0,0,0
MXGP 2,27,27,0
MXGP3,106,106,0
MX Nitro,65,65,0
My Time at Portia,1070,1070,0
Mystery Chronicle: One Way Heroics,6,6,0
N++,573,573,0
Nano Assault Neo X,0,0,0
Naruto Shippuden: Ultimate Ninja Storm 4,210,210,0
Naruto Shippuden: Ultimate Ninja Storm Trilogy/Legacy,90,90,0
NASCAR Heat Evolution,4458,4458,0
Natural Doctrine,5644,5644,0
NBA 2K Playgrounds 2,513,513,0
NBA 2K14,49,49,0
NBA 2K15,206,206,0
NBA 2K16,126,126,0
NBA 2K17,145,145,0
NBA 2K18,1024,1024,0
NBA 2K19,788,788,0
NBA Live 14,1908,1908,0
NBA Live 15,1099,1099,0
NBA Live 16,1188,1188,0
NBA Live 18,1419,1419,0
NBA Live 19,967,967,0
NBA Playgrounds,182,182,0
Necropolis,1427,1427,0
Need for Speed,516,516,0
Need for Speed: Payback,1197,1197,0
Need for Speed: Rivals,2489,2489,0
Neopolis,0,0,0
Nero,5454,5454,0
NeuroVoider,152,152,0
Never Alone,277,277,0
Never Gone,279,279,0
Neverending Nightmares,101,101,0
Neverwinter Nights: Enhanced Edition,419,419,0
New Gundam Breaker,80,80,0
Nex Machina,106,106,0
NHL 15,2793,2793,0
NHL 16,2437,2437,0
NHL 17,2782,2782,0
NHL 18,3127,3127,0
NHL 19,3147,3147,0
Nidhogg,849,849,0
Nier: Automata,4156,4156,0
Night in the Woods,6818,6818,0
Nights of Azure,1389,1389,0
Nights of Azure 2: Bride of the New Moon,7,7,0
Nightmare Boy,20599,20599,0
Nine Parchments,804,804,0
Nioh,898,898,0
Nioh 2,729,729,0
Ni no Kuni II: Revenant Kingdom,1157,1157,0
Ninja Shodown,37,37,0
Nitroplus Blasterz: Heroines Infinite Duel,58,58,0
No Heroes Here,2406,2406,0
No Man's Sky,1069,1069,0
Nobunaga's Ambition Online,0,0,0
Nobunaga's Ambition: Sphere of Influence,0,0,0
Nom Nom Galaxy,53,53,0
No Time to Explain,469,469,0
Not a Hero,1066,1066,0
Nova-111,178,178,0
Nuclear Throne,8309,8309,0
Numantia,1,1,0
Obduction,1151,1151,0
Obliteracers,0,0,0
Observation,937,937,0
Observer,3528,3528,0
Oceanhorn: Monster of Uncharted Seas,348,348,0
Octodad: Dadliest Catch,100,100,0
Oddworld: New 'n' Tasty!,107,107,0
Oh My Godheads,606,606,0
Odin Sphere: Leifthrasir,43,43,0
OK K.O.! Let's Play Heroes,6,6,0
Old Man's Journey,764,764,0
OlliOlli,1711,1711,0
OlliOlli2: Welcome to Olliwood,198,198,0
Olympic Games Tokyo 2020: The Official Video Game,143,143,0
Omega Agent,2168,2168,0
Omega Quintet,29,29,0
Omen of Sorrow,337,337,0
Onechanbara Z2: Chaos,4,4,0
One More Dungeon,4796,4796,0
One Piece: Burning Blood,4036,4036,0
One Piece: Pirate Warriors 3,1008,1008,0
One Piece: Unlimited World Red Deluxe Edition,106,106,0
One Piece: World Seeker,803,803,0
One-Room,315,315,0
One Tap Hero,5896,5896,0
One Upon Light,1185,1185,0
Onimusha: Warlords,119,119,0
Onrush,171,171,0
The Order: 1886,932,932,0
Organ Trail,1422,1422,0
Organic Panic,2693,2693,0
Orphan,1949,1949,0
Osiris: New Dawn,346,346,0
Our World is Ended,981,981,0
Oure,76,76,0
The Outer Worlds,5362,5362,0
Outlast,490,490,0
Outlast 2,520,520,0
Outward: The Adventurer Life Sim,16,16,0
Overcooked,1917,1917,0
Overcooked 2,2625,2625,0
Overlord: Fellowship of Evil,0,0,0
Overruled!,7760,7760,0
Overwatch,933,933,0
Owlboy,478,478,0
Oxenfree,1166,1166,0
Pac-Man 256,150,150,0
Pac-Man Championship Edition 2,177,177,0
Pang Adventures,1312,1312,0
Paranautical Activity,249,249,0
PaRappa the Rapper Remastered,9,9,0
The Park,415,415,0
Patapon Remastered,0,0,0
Patapon 2 Remastered,0,0,0
The Pathless,506,506,0
Pathologic (Remake),1,1,0
Party Golf,1516,1516,0
Pavilion,830,830,0
Payday 2: Crimewave Edition,2,2,0
The Peanuts Movie: Snoopy's Grand Adventure,0,0,0
Peggle 2,283,283,0
Penarium,173,173,0
Perception,501,501,0
Perfect Universe,4618,4618,0
The Persistence,1568,1568,0
Persona 3: Dancing Moon Night,0,0,0
Persona 4: Dancing All Night,169,169,0
Persona 5,1044,1044,0
Persona 5: Dancing Star Night,42,42,0
Persona 5: The Royal,16262,16262,0
Phantom Blade: Mirage,9,9,0
Phantom Breaker: Battle Grounds Overdrive,10,10,0
Phantom Doctrine,922,922,0
Phantom Trigger,1499,1499,0
Pharaonic,117,117,0
Phoenix Point,9412,9412,0
Pier Solar and the Great Architects,23,23,0
Pig Eat Ball,655,655,0
Pillar,1118,1118,0
Pillars of Eternity,834,834,0
Pillars of Eternity II: Deadfire,663,663,0
Pinstripe,430,430,0
Pix the Cat,209,209,0
Pixel Piracy,66,66,0
PixelJunk Monsters 2,299,299,0
PixelJunk Shooter Ultimate,242,242,0
Pixel Noir,574,574,0
Plague Inc: Evolved,98,98,0
Planescape: Torment: Enhanced Edition,132,132,0
Planet of the Apes: Last Frontier,80,80,0
Plants vs. Zombies: Garden Warfare,889,889,0
Plants vs. Zombies: Garden Warfare 2,889,889,0
PlayerUnknown's Battlegrounds,2598,2598,0
Pocket God vs. Desert Ashes,6073,6073,0
Pode,2180,2180,0
Polarity: Ultimate Edition,1,1,0
Polybius,8313,8313,0
Pool Nation FX,1,1,0
Portal Knights,2522,2522,0
Praey for the Gods,74,74,0
Pressure Overdrive,423,423,0
Prey,3085,3085,0
Primal Carnage: Extinction,115,115,0
Prismatic Solid,333,333,0
Prison Architect,828,828,0
Pro Evolution Soccer 2015,34,34,0
Pro Evolution Soccer 2016,43,43,0
Pro Evolution Soccer 2017,119,119,0
Pro Evolution Soccer 2018,232,232,0
Pro Evolution Soccer 2019,373,373,0
Professional Farmer 2017,318,318,0
Project Boundary,9866,9866,0
Project CARS,825,825,0
Project CARS 2,787,787,0
Project Nimbus: Code Mirai,0,0,0
Prototype,1625,1625,0
Prototype 2,1431,1431,0
Psychonauts 2,492,492,0
Puddle,22000,22000,0
Punch Club,1138,1138,0
Pure Chess,2334,2334,0
Pure Farming 2018,355,355,0
Pure Hold'em,7315,7315,0
Pure Pool,4941,4941,0
Push Me Pull You,3391,3391,0
Putty Squad,6,6,0
Puyo Puyo Tetris,1822,1822,0
Pyre,2467,2467,0
Q.U.B.E. Director's Cut,155,155,0
Q.U.B.E. 2,155,155,0
Q*bert Rebooted,0,0,0
Quiplash,221,221,0
Rabi-Ribi,467,467,0
Race the Sun,3083,3083,0
Radial-G: Racing Revolved,20,20,0
Rage 2,490,490,0
Raiden V: Director's Cut,151,151,0
Raiders of the Broken Planet,627,627,0
Raid: World War II,1271,1271,0
Railway Empire,888,888,0
Rainbow Moon,17238,17238,0
Rainbow Skies,1459,1459,0
Rain World,2882,2882,0
Rally Copters,0,0,0
Randall,3605,3605,0
Ratchet & Clank,1487,1487,0
Rayman Legends,650,650,0
Ray's the Dead,9654,9654,0
R.B.I. Baseball 14,0,0,0
R.B.I. Baseball 15,0,0,0
R.B.I. Baseball 16,1,1,0
R.B.I. Baseball 17,1,1,0
R.B.I. Baseball 18,0,0,0
R.B.I. Baseball 19,13,13,0
ReadySet Heroes,4013,4013,0
Ready to Run,1279,1279,0
Real Farm,6038,6038,0
Realms of Arkania,76,76,0
Rebel Galaxy,899,899,0
Red Dead Redemption 2,726,726,0
Red Faction: Guerilla,20,20,0
Redout,1099,1099,0
Refactor,2043,2043,0
Regalia: Of Men and Monarchs,3,3,0
Remothered: Tormented Fathers,166,166,0
Replay: VHS is not dead,1,1,0
République,2157,2157,0
Resident Evil 2,399,399,0
Resident Evil 4,323,323,0
Resident Evil 5,301,301,0
Resident Evil 6,324,324,0
Resident Evil 7: Biohazard,513,513,0
Resident Evil HD Remaster,286,286,0
Resident Evil Zero HD Remaster,126,126,0
Resident Evil: Revelations,214,214,0
Resident Evil: Revelations 2,174,174,0
Resogun,21,21,0
Retro City Rampage,6282,6282,0
Reus,2449,2449,0
Reverie,1308,1308,0
Rez Infinite,92,92,0
Rico,659,659,0
Ride,329,329,0
Ride 2,380,380,0
Ride 3,381,381,0
RiftStar Raiders,475,475,0
Rime,1357,1357,0
Riptide GP: Renegade,230,230,0
Riptide GP2,1,1,0
Rise & Shine,7916,7916,0
Rise of the Tomb Raider,863,863,0
Risen 3: Titan Lords Enhanced Edition,111,111,0
Risk: Urban Assault,1084,1084,0
Risk of Rain,1511,1511,0
Rive,949,949,0
Riverbond,0,0,0
Road Not Taken,5931,5931,0
Road Rage,1773,1773,0
Road Redemption,2167,2167,0
Robotics;Notes DaSH,31,31,0
Robotics;Notes Elite HD,0,0,0
Rock Band 4,2616,2616,0
Rock Boshers DX,0,0,0
Rock'N Racing Off Road DX,294,294,0
Rocket League,611,611,0
Rock of Ages II: Bigger & Boulder,109,109,0
Rockets Rockets Rockets,765,765,0
Rocksmith 2014,770,770,0
Rogue Aces,1243,1243,0
Rogue Legacy,655,655,0
Rogue Stormers,0,0,0
Rollers of the Realm,343,343,0
Romance of the Three Kingdoms XIII,26,26,0
Romancing SaGa 2,414,414,0
Ronin,2062,2062,0
Root Letter,2095,2095,0
Root Letter: Last Answer,1267,1267,0
Rory McIlroy PGA Tour,218,218,0
Roundabout,4377,4377,0
R-Type Final 2,212,212,0
Rugby 15,3533,3533,0
Rugby 18,4216,4216,0
Rugby Challenge 3,785,785,0
Rugby League Live 3,380,380,0
Ruiner,338,338,0
Runbow,374,374,0
Runner2: Future Legend of Rhythm Alien,33,33,0
Runner3,0,0,0
Saint Seiya: Soldiers' Soul,0,0,0
Saints Row: Gat out of Hell,496,496,0
Saints Row IV: Re-Elected,159,159,0
Sakuna: Of Rice and Ruin,0,0,0
Salt and Sanctuary,1255,1255,0
Samurai Gunn,133,133,0
Samurai Warriors 4,3717,3717,0
Savant: Ascent,134,134,0
The School: Swan Song,357,357,0
Scrabble,1935,1935,0
Scram Kitty DX,0,0,0
Screencheat,147,147,0
Sea of Solitude,561,561,0
Sébastien Loeb Rally Evo,0,0,0
Secret of Mana,4520,4520,0
Secret Ponchos,971,971,0
Sekiro: Shadows Die Twice,160,160,0
Semispheres,81,81,0
Senko no Ronde 2,0,0,0
Senran Kagura: Estival Versus,794,794,0
Senran Kagura: Peach Beach Splash,54,54,0
Senran Kagura Burst Re:Newal,0,0,0
Senran Kagura 7EVEN,33,33,0
Seraph,2324,2324,0
Seraphim,3304,3304,0
Serial Cleaner,173,173,0
The Sexy Brutale,107,107,0
Shadow Complex Remastered,256,256,0
Shadow of the Beast,2804,2804,0
Shadow of the Colossus,2133,2133,0
Shadow of the Tomb Raider,901,901,0
Shadows: Awakening,1181,1181,0
Shadow Tactics: Blades of the Shogun,205,205,0
Shadow Warrior,2577,2577,0
Shadow Warrior 2,2569,2569,0
Shakedown: Hawaii,908,908,0
Shantae: Half-Genie Hero,661,661,0
Shantae: Risky's Revenge,139,139,0
Shantae and the Pirate's Curse,857,857,0
Shape of the World,68268,68268,0
Shaq Fu: A Legend Reborn,166,166,0
Sheltered,3626,3626,0
Shenmue I & II,299,299,0
Shenmue III,1324,1324,0
Sherlock Holmes: Crimes & Punishments,110,110,0
Sherlock Holmes: The Devil's Daughter,252,252,0
Shift Happens,2319,2319,0
Shiftlings,18,18,0
Shiness: The Lightning Kingdom,147,147,0
Shining Resonance Refrain,82,82,0
Shoppe Keep,172,172,0
Shovel Knight,1959,1959,0
Shu,553,553,0
Siegecraft Commander,186,186,0
Silence: The Whispered World II,408,408,0
The Silver Case,3615,3615,0
The Sims 4,464,464,0
Sine Mora EX,214,214,0
SingStar Celebration,80,80,0
Sinner: Sacrifice for Redemption,49,49,0
Siralim,437,437,0
Siralim 2,127,127,0
Siralim 3,326,326,0
Skull & Bones,6534,6534,0
Skullgirls: 2nd Encore,277,277,0
Skull Pirates,3468,3468,0
Skulls of the Shogun: Bone-A-Fide Edition,77,77,0
Sky Force Anniversary,450,450,0
Sky Force Reloaded,431,431,0
Skylanders: Imaginators,104,104,0
Skylanders: SuperChargers,47,47,0
Skylanders: Swap Force,41,41,0
Skylanders: Trap Team,55,55,0
SkyScrappers,37,37,0
Skytorn,1,1,0
SlashDash,4369,4369,0
Slayaway Camp,113,113,0
Sleeping Dogs: Definitive Edition,163,163,0
Slime Rancher,651,651,0
